CVE-2022-24040,CVE
CVE-2022-27795,CVE
CAPEC-74,CAPEC
CVE-2022-21142,CVE
CVE-2022-25090,CVE
CVE-2022-23661,CVE
CVE-2022-27838,CVE
CVE-2022-25148,CVE
CVE-2022-22850,CVE
CWE-1288,CWE
CVE-2022-0313,CVE
CWE-1117,CWE
CVE-2022-21644,CVE
CVE-2022-24459,CVE
CWE-599,CWE
CVE-2022-28782,CVE
T1070.004,T
CWE-664,CWE
CVE-2022-23049,CVE
CAPEC-75,CAPEC
CVE-2022-25556,CVE
CVE-2022-25172,CVE
CWE-1039,CWE
CVE-2022-23450,CVE
CVE-2022-23587,CVE
CVE-2022-1674,CVE
CWE-352,CWE
CVE-2022-0617,CVE
CVE-2022-22285,CVE
CAPEC-237,CAPEC
CVE-2022-21209,CVE
CVE-2022-25816,CVE
T1578.002,T
CVE-2022-24104,CVE
CWE-277,CWE
CVE-2022-25191,CVE
CVE-2022-23975,CVE
CVE-2022-0374,CVE
T1082,T
CVE-2022-0620,CVE
CWE-1101,CWE
CWE-918,CWE
CVE-2022-0330,CVE
CAPEC-108,CAPEC
T1588.005,T
CVE-2022-30001,CVE
CVE-2022-20714,CVE
CVE-2022-30414,CVE
T1611,T
CVE-2022-23901,CVE
CVE-2022-28222,CVE
CVE-2022-27189,CVE
M1028,M
CVE-2022-30402,CVE
CVE-2022-25125,CVE
CVE-2022-24573,CVE
CVE-2022-27654,CVE
CVE-2022-25023,CVE
CVE-2022-29213,CVE
CVE-2022-26835,CVE
CAPEC-579,CAPEC
CVE-2022-26650,CVE
CVE-2022-31622,CVE
CAPEC-675,CAPEC
CWE-605,CWE
CVE-2022-25298,CVE
T1574.001,T
CWE-116,CWE
T1008,T
CWE-178,CWE
CVE-2022-1089,CVE
CVE-2022-25552,CVE
CVE-2022-25013,CVE
CVE-2022-27573,CVE
CVE-2022-28901,CVE
CVE-2022-28789,CVE
CVE-2022-0785,CVE
CVE-2022-24900,CVE
CVE-2022-23286,CVE
CVE-2022-0700,CVE
CAPEC-227,CAPEC
CVE-2022-29801,CVE
CWE-754,CWE
CVE-2022-30371,CVE
CVE-2022-27940,CVE
CVE-2022-26413,CVE
T1133,T
CVE-2022-27208,CVE
CVE-2022-24791,CVE
CVE-2022-30963,CVE
CVE-2022-30241,CVE
T1220,T
CWE-487,CWE
CAPEC-80,CAPEC
T1550.004,T
CVE-2022-21179,CVE
CVE-2022-21710,CVE
CVE-2022-27961,CVE
CVE-2022-23710,CVE
CVE-2022-0165,CVE
CVE-2022-29307,CVE
CVE-2022-21919,CVE
CVE-2022-0764,CVE
CAPEC-279,CAPEC
CVE-2022-0206,CVE
CVE-2022-22851,CVE
CVE-2022-24680,CVE
CVE-2022-22116,CVE
CVE-2022-25315,CVE
CAPEC-25,CAPEC
CVE-2022-0528,CVE
CVE-2022-29610,CVE
CVE-2022-24901,CVE
CVE-2022-28266,CVE
CVE-2022-25481,CVE
CVE-2022-28454,CVE
CVE-2022-1375,CVE
CVE-2022-20092,CVE
CVE-2022-0326,CVE
T1600,T
CVE-2022-28896,CVE
CVE-2022-26097,CVE
CAPEC-201,CAPEC
CVE-2022-30061,CVE
CVE-2022-29419,CVE
CVE-2022-22394,CVE
CAPEC-10,CAPEC
CVE-2022-0417,CVE
CVE-2022-1288,CVE
CVE-2022-24747,CVE
CWE-1328,CWE
CAPEC-173,CAPEC
CWE-925,CWE
CVE-2022-25445,CVE
CVE-2022-1258,CVE
CVE-2022-26198,CVE
CVE-2022-24114,CVE
CVE-2022-24285,CVE
CVE-2022-26619,CVE
CVE-2022-22919,CVE
CWE-46,CWE
CVE-2022-28425,CVE
CAPEC-129,CAPEC
CVE-2022-0724,CVE
CVE-2022-24056,CVE
CAPEC-568,CAPEC
CAPEC-117,CAPEC
CVE-2022-27964,CVE
CVE-2022-22539,CVE
CVE-2022-26907,CVE
CVE-2022-1080,CVE
CVE-2022-0866,CVE
CVE-2022-29174,CVE
CVE-2022-29969,CVE
