0,CAPEC-1,in applications particularly web applications access functionality mitigated authorization framework this framework maps access control lists acls elements application functionality particularly url web apps in case administrator failed specify acl particular element attacker may able access impunity an attacker ability access functionality properly constrained acls obtain sensitive information possibly compromise entire application such attacker access resources must available users higher privilege level access management sections application run queries data otherwise supposed
1,CAPEC-10,this attack pattern involves causing buffer overflow manipulation environment variables once adversary finds modify environment variable may try overflow associated buffers this attack leverages implicit trust often placed environment variables
2,CAPEC-100,buffer overflow attacks target improper missing bounds checking buffer operations typically triggered input injected adversary as consequence adversary able write past boundaries allocated buffer regions memory causing program crash potentially redirection execution per adversaries choice
3,CAPEC-101,an attacker use server side include ssi injection send code web application gets executed web server doing enables attacker achieve similar results cross site scripting arbitrary code execution information disclosure albeit limited scale since ssi directives nowhere near powerful scripting language nonetheless attacker conveniently gain access sensitive files password files execute shell commands
4,CAPEC-102,session sidejacking takes advantage unencrypted communication channel victim target system the attacker sniffs traffic network looking session tokens unencrypted traffic once session token captured attacker performs malicious actions using stolen token targeted application impersonate victim this attack specific method session hijacking exploiting valid session token gain unauthorized access target system information other methods perform session hijacking session fixation scripting compromising user server machine stealing session token
5,CAPEC-103,in clickjacking attack victim tricked unknowingly initiating action one system interacting ui seemingly completely different system while logged target system victim visits adversary malicious site displays ui victim wishes interact in reality clickjacked page transparent layer visible ui action controls adversary wishes victim execute the victim clicks buttons ui elements see page actually triggers action controls transparent overlaying layer depending action control adversary may tricked victim executing potentially privileged certainly undesired functionality target system victim authenticated the basic problem dichotomy victim thinks clicking versus actually clicking
6,CAPEC-104,an attacker able cause victim load content bypasses security zone controls gain access increased privileges execute scripting code web objects unsigned activex controls applets this privilege elevation attack targeted security
7,CAPEC-105,an adversary abuses flexibility discrepancies parsing interpretation http request messages different intermediary http agents load balancer reverse proxy web caching proxies application firewalls etc split single http request multiple unauthorized malicious http requests http agent web server see canprecede relationships possible consequences
8,CAPEC-107,cross site tracing xst enables adversary steal victim session cookie possibly authentication credentials transmitted header http request victim browser communicates destination system web server
9,CAPEC-108,an attacker uses standard sql injection methods inject data command line execution this could done directly misuse directives indirectly injection data database would interpreted shell commands sometime later unscrupulous backend application could part functionality application fetches injected data stored database uses data command line arguments without performing proper validation the malicious data escapes data plane spawning new commands executed host
10,CAPEC-109,an attacker leverages weakness present database access layer code generated object relational mapping orm tool weakness way developer used persistence framework inject sql commands executed underlying database the attack similar plain sql injection except application use jdbc directly talk database instead uses data access layer generated orm tool framework hibernate while time code generated orm tool contains safe access methods immune sql injection sometimes either due weakness generated code due fact developer failed use generated access methods properly sql injection still possible
